season,episodes,first_released,last_released,average_viewership_in_millions
1,18,2007-09-19,2008-05-19,2.6
2,25,2008-09-01,2009-05-18,2.8
3,22,2009-09-14,2010-05-17,2
4,22,2010-09-13,2011-05-16,1.6
5,24,2011-09-26,2012-05-14,1.2
6,10,2012-10-08,2012-12-17,0.9
