main_character,character,line_no,line_type,word,main_character_word
TRUE,Dan,583,lines,times,FALSE
TRUE,Dan,583,lines,class,FALSE
TRUE,Dan,583,lines,dan,TRUE
TRUE,Dan,583,lines,humphrey,FALSE
TRUE,Dan,583,lines,sister,FALSE
TRUE,Serena,585,lines,serena,TRUE
TRUE,Serena,585,lines,pushes,FALSE
TRUE,Serena,585,lines,chuck,TRUE
TRUE,Serena,586,lines,chuck,TRUE
TRUE,Serena,586,lines,touch,FALSE
TRUE,Chuck,587,lines,hey,FALSE
TRUE,Chuck,587,lines,life,FALSE
TRUE,Chuck,587,lines,slut,FALSE
TRUE,Chuck,587,lines,forget,FALSE
TRUE,Jenny,590,lines,yeah,FALSE
TRUE,Jenny,590,lines,home,FALSE
TRUE,Dan,592,lines,shot,FALSE
TRUE,Dan,592,lines,date,FALSE
TRUE,Serena,593,lines,top,FALSE
TRUE,Dan,594,lines,punch,FALSE
TRUE,Serena,595,lines,true,FALSE
TRUE,Serena,595,lines,talk,FALSE
TRUE,Serena,595,lines,cab,FALSE
TRUE,Chuck,598,lines,hoping,FALSE
TRUE,Gossip Girl,600,voice over,spotted,FALSE
TRUE,Gossip Girl,600,voice over,serena,TRUE
TRUE,Gossip Girl,600,voice over,heroic,FALSE
TRUE,Gossip Girl,600,voice over,exit,FALSE
TRUE,Gossip Girl,600,voice over,blair,TRUE
TRUE,Gossip Girl,600,voice over,party,FALSE
TRUE,Gossip Girl,600,voice over,bad,FALSE
TRUE,Gossip Girl,600,voice over,school,FALSE
TRUE,Gossip Girl,600,voice over,monday,FALSE
TRUE,Gossip Girl,600,voice over,time,FALSE
TRUE,Gossip Girl,600,voice over,love,FALSE
TRUE,Gossip Girl,600,voice over,gossip girl,TRUE
